File,Book,Chapter,ExpectedVerses,Overall,Check,Status,Value,Detail
ACT_013.wav,Acts,13,52,PASS,Tail Silence,PASS,2.49s,Expected 2.0s +/- 0.5s; measured 2.49s
ACT_013.wav,Acts,13,52,PASS,Chapter Title,PASS,1,Present.
ACT_013.wav,Acts,13,52,PASS,Verses,PASS,52/52,"All 52 verses present (Verse 1..52), no missing/extra/duplicates."
ACT_014.wav,Acts,14,28,PASS,Loudness,PASS,-18.0 LUFS,Target -18.0 LUFS +/- 0.5; measured -18.0 LUFS
ACT_014.wav,Acts,14,28,PASS,True Peak,PASS,-1.1 dBTP,Ceiling -1.0 dBTP; measured -1.1 dBTP
ACT_014.wav,Acts,14,28,PASS,Head Silence,PASS,2.01s,Expected 2.0s +/- 0.5s; measured 2.01s
ACT_014.wav,Acts,14,28,PASS,Tail Silence,PASS,2.14s,Expected 2.0s +/- 0.5s; measured 2.14s
ACT_014.wav,Acts,14,28,PASS,Chapter Title,PASS,1,Present.
ACT_014.wav,Acts,14,28,PASS,Verses,PASS,28/28,"All 28 verses present (Verse 1..28), no missing/extra/duplicates."
ACT_015.wav,Acts,15,41,FAIL,Loudness,PASS,-18.0 LUFS,Target -18.0 LUFS +/- 0.5; measured -18.0 LUFS
ACT_015.wav,Acts,15,41,FAIL,True Peak,PASS,-1.1 dBTP,Ceiling -1.0 dBTP; measured -1.1 dBTP
ACT_015.wav,Acts,15,41,FAIL,Head Silence,PASS,2.12s,Expected 2.0s +/- 0.5s; measured 2.12s
ACT_015.wav,Acts,15,41,FAIL,Tail Silence,FAIL,2.51s,Expected 2.0s +/- 0.5s; measured 2.51s
ACT_015.wav,Acts,15,41,FAIL,Chapter Title,PASS,1,Present.
ACT_015.wav,Acts,15,41,FAIL,Verses,PASS,41/41,"All 41 verses present (Verse 1..41), no missing/extra/duplicates."
ACT_016.wav,Acts,16,40,PASS,Loudness,PASS,-18.0 LUFS,Target -18.0 LUFS +/- 0.5; measured -18.0 LUFS
ACT_016.wav,Acts,16,40,PASS,True Peak,PASS,-1.1 dBTP,Ceiling -1.0 dBTP; measured -1.1 dBTP
ACT_016.wav,Acts,16,40,PASS,Head Silence,PASS,2.02s,Expected 2.0s +/- 0.5s; measured 2.02s
ACT_016.wav,Acts,16,40,PASS,Tail Silence,PASS,2.04s,Expected 2.0s +/- 0.5s; measured 2.04s
ACT_016.wav,Acts,16,40,PASS,Chapter Title,PASS,1,Present.
ACT_016.wav,Acts,16,40,PASS,Verses,PASS,40/40,"All 40 verses present (Verse 1..40), no missing/extra/duplicates."
